Conv2d,1,32,257,257,864,5.70663e+07,0,5.70663e+07,0,8.45427e+06,8.55995e+08,8.45773e+06,5.74532e-05,3.75054e+07,9.21466e-05,0.225507,22291.5,
BatchNorm2d,2,32,257,257,0,2.11357e+06,0,6.3407e+06,2.11357e+06,8.45427e+06,1.05678e+07,8.45427e+06,7.09299e-07,463030,0,18.2586,825.613,
ReLU,3,32,257,257,0,0,2.11357e+06,0,0,8.45427e+06,2.11357e+06,8.45427e+06,1.4186e-07,92606,0,91.2929,0,
Conv2d,4,64,257,257,18432,1.21742e+09,0,1.21742e+09,0,1.69085e+07,1.77134e+11,1.69823e+07,0.011889,7.76113e+09,9.49965e-06,0.00218812,475553,
BatchNorm2d,5,64,257,257,0,4.22714e+06,0,1.26814e+07,4.22714e+06,1.69085e+07,2.11357e+07,1.69085e+07,1.4186e-06,926060,0,18.2586,1651.23,
ReLU,6,64,257,257,0,0,4.22714e+06,0,0,1.69085e+07,4.22714e+06,1.69085e+07,2.83719e-07,185212,0,91.2929,0,
Conv2d,7,64,257,257,36864,2.43483e+09,0,2.43483e+09,0,1.69085e+07,7.04883e+11,1.7056e+07,0.0473108,3.08845e+10,4.77444e-06,0.000552251,951106,
BatchNorm2d,8,64,257,257,0,4.22714e+06,0,1.26814e+07,4.22714e+06,1.69085e+07,2.11357e+07,1.69085e+07,1.4186e-06,926060,0,18.2586,1651.23,
Conv2d,9,128,257,257,73728,4.86966e+09,0,4.86966e+09,0,3.38171e+07,1.40977e+12,3.4112e+07,0.0946216,6.1769e+10,4.77444e-06,0.000552251,1.90221e+06,
SeparableConv2d,10,128,257,257,163840,1.08215e+10,0,1.08215e+10,0,3.38171e+07,5.62662e+12,3.44724e+07,0.377651,2.46531e+11,2.65833e-06,0.00013983,64,
BatchNorm2d,11,128,257,257,0,8.45427e+06,0,2.53628e+07,8.45427e+06,3.38171e+07,4.22714e+07,3.38171e+07,2.83719e-06,1.85212e+06,0,18.2586,3302.45,
ReLU,12,128,257,257,0,0,8.45427e+06,0,0,3.38171e+07,8.45427e+06,3.38171e+07,5.67439e-07,370424,0,91.2929,0,
ReLU,13,128,257,257,0,0,8.45427e+06,0,0,3.38171e+07,8.45427e+06,3.38171e+07,5.67439e-07,370424,0,91.2929,0,
Conv2d,14,128,257,257,147456,9.73932e+09,0,9.73932e+09,0,3.38171e+07,5.62446e+12,3.44069e+07,0.377506,2.46436e+11,2.39342e-06,0.000139618,3.80442e+06,
BatchNorm2d,15,128,257,257,0,8.45427e+06,0,2.53628e+07,8.45427e+06,3.38171e+07,4.22714e+07,3.38171e+07,2.83719e-06,1.85212e+06,0,18.2586,3302.45,
Conv2d,16,128,257,257,147456,9.73932e+09,0,9.73932e+09,0,3.38171e+07,5.62446e+12,3.44069e+07,0.377506,2.46436e+11,2.39342e-06,0.000139618,3.80442e+06,
SeparableConv2d,17,128,257,257,163840,1.08215e+10,0,1.08215e+10,0,3.38171e+07,5.62662e+12,3.44724e+07,0.377651,2.46531e+11,2.65833e-06,0.00013983,64,
